PID,Process Name,CPU Usage,GPU Usage,Memory Usage,IO_Usage,Timestamp
13224,LiDAR360.exe,8.466666666666667,1.0,6.0940071032724905,"pio(read_count=487596, write_count=707, read_bytes=1833189327, write_bytes=1990411, other_count=347076, other_bytes=4214840)",1646724326.1100883
14668,LiDAR360.exe,9.108333333333333,2.0,6.671804554001774,"pio(read_count=571744, write_count=707, read_bytes=2183544300, write_bytes=1990411, other_count=332887, other_bytes=4075552)",1646724330.1960356
14936,LiDAR360.exe,8.075000000000001,3.0,6.992695700505099,"pio(read_count=486441, write_count=505, read_bytes=1831812379, write_bytes=1165975, other_count=338896, other_bytes=4121148)",1646724334.2790887
7156,LiDAR360.exe,7.041666666666667,1.0,6.095654474211721,"pio(read_count=487214, write_count=484, read_bytes=1832109284, write_bytes=1083950, other_count=346148, other_bytes=4207696)",1646724338.36697
13224,LiDAR360.exe,8.208333333333334,1.0,6.0972063453863585,"pio(read_count=488728, write_count=707, read_bytes=1833735633, write_bytes=1990411, other_count=357540, other_bytes=4340984)",1646724342.4412682
14668,LiDAR360.exe,7.625,1.0,5.771755085123715,"pio(read_count=572922, write_count=707, read_bytes=2184110771, write_bytes=1990411, other_count=343680, other_bytes=4204908)",1646724346.5040033
14936,LiDAR360.exe,7.55,2.0,6.093553479390673,"pio(read_count=487501, write_count=505, read_bytes=1832322321, write_bytes=1165975, other_count=348618, other_bytes=4237748)",1646724350.657797
7156,LiDAR360.exe,8.333333333333334,1.0,7.222348759410307,"pio(read_count=537437, write_count=484, read_bytes=2030953165, write_bytes=1083950, other_count=355626, other_bytes=4335620)",1646724354.7450247
13224,LiDAR360.exe,8.466666666666667,0.0,7.224533316525375,"pio(read_count=539034, write_count=908, read_bytes=2033355654, write_bytes=2805849, other_count=366042, other_bytes=4458296)",1646724358.8000221
14668,LiDAR360.exe,8.525,1.0,5.774787202649546,"pio(read_count=573890, write_count=707, read_bytes=2184580383, write_bytes=1990411, other_count=352744, other_bytes=4315084)",1646724362.8844235
14936,LiDAR360.exe,7.358333333333333,1.0,6.0934102297437835,"pio(read_count=488707, write_count=505, read_bytes=1832903810, write_bytes=1165975, other_count=359741, other_bytes=4371640)",1646724366.9477258
7156,LiDAR360.exe,8.658333333333333,1.0,7.218015457591898,"pio(read_count=538449, write_count=484, read_bytes=2031444123, write_bytes=1083950, other_count=365102, other_bytes=4450804)",1646724371.0031562
13224,LiDAR360.exe,8.975,1.0,7.220414889177299,"pio(read_count=540178, write_count=908, read_bytes=2033910650, write_bytes=2805849, other_count=376751, other_bytes=4588504)",1646724375.0643585
14668,LiDAR360.exe,8.658333333333333,1.0,6.899965429085217,"pio(read_count=624201, write_count=707, read_bytes=2383466956, write_bytes=1990411, other_count=363046, other_bytes=4453024)",1646724379.1432598
14936,LiDAR360.exe,9.233333333333333,0.0,7.222265197116289,"pio(read_count=539195, write_count=742, read_bytes=2032742834, write_bytes=2128633, other_count=369641, other_bytes=4506244)",1646724383.2179706
7156,LiDAR360.exe,9.833333333333334,1.0,7.218075144944767,"pio(read_count=539715, write_count=484, read_bytes=2032053286, write_bytes=1083950, other_count=376719, other_bytes=4590176)",1646724387.2813296
13224,LiDAR360.exe,7.5,1.0,7.223005320291885,"pio(read_count=541356, write_count=908, read_bytes=2034477121, write_bytes=2805849, other_count=387544, other_bytes=4717860)",1646724391.363091
14668,LiDAR360.exe,8.725,0.0,6.161931310839319,"pio(read_count=625257, write_count=707, read_bytes=2383979260, write_bytes=1990411, other_count=372934, other_bytes=4573216)",1646724395.4387922
14936,LiDAR360.exe,8.591666666666667,9.0,7.217955770239026,"pio(read_count=540329, write_count=742, read_bytes=2033287959, write_bytes=2128633, other_count=380022, other_bytes=4630592)",1646724399.5197003
7156,LiDAR360.exe,8.725,1.0,6.207269824079884,"pio(read_count=540639, write_count=484, read_bytes=2032501552, write_bytes=1083950, other_count=385371, other_bytes=4695344)",1646724403.575678
13224,LiDAR360.exe,8.466666666666667,1.0,6.207878635079164,"pio(read_count=542430, write_count=908, read_bytes=2034994572, write_bytes=2805849, other_count=397431, other_bytes=4836728)",1646724407.675858
14668,LiDAR360.exe,8.141666666666667,4.0,6.895679877149102,"pio(read_count=626435, write_count=707, read_bytes=2384545731, write_bytes=1990411, other_count=383727, other_bytes=4702572)",1646724411.753015
14936,LiDAR360.exe,9.116666666666667,1.0,7.220582013765337,"pio(read_count=541385, write_count=742, read_bytes=2033800263, write_bytes=2128633, other_count=389910, other_bytes=4750784)",1646724415.8101468
7156,LiDAR360.exe,8.333333333333334,2.0,6.207377261315051,"pio(read_count=541757, write_count=484, read_bytes=2033040349, write_bytes=1083950, other_count=395670, other_bytes=4819220)",1646724419.9272728
13224,LiDAR360.exe,7.166666666666667,0.0,6.207878635079164,"pio(read_count=543516, write_count=908, read_bytes=2035521986, write_bytes=2805849, other_count=407568, other_bytes=4959592)",1646724424.0038617
14668,LiDAR360.exe,9.049999999999999,0.0,5.882785498933745,"pio(read_count=627567, write_count=707, read_bytes=2385092037, write_bytes=1990411, other_count=394191, other_bytes=4828716)",1646724428.0654905
14936,LiDAR360.exe,7.55,1.0,6.205312078905726,"pio(read_count=542415, write_count=742, read_bytes=2034296368, write_bytes=2128633, other_count=399385, other_bytes=4864644)",1646724432.1657493
7156,LiDAR360.exe,7.441666666666666,0.0,7.438476664155023,"pio(read_count=593762, write_count=705, read_bytes=2239058347, write_bytes=1981918, other_count=405158, other_bytes=4949680)",1646724436.349778
13224,LiDAR360.exe,7.425,1.0,7.435169984805988,"pio(read_count=595657, write_count=1129, read_bytes=2241600387, write_bytes=3703817, other_count=418124, other_bytes=5101552)",1646724440.4335868
14668,LiDAR360.exe,7.683333333333334,3.0,5.885578867048093,"pio(read_count=628565, write_count=707, read_bytes=2385575486, write_bytes=1990411, other_count=403502, other_bytes=4941632)",1646724444.5208197
14936,LiDAR360.exe,7.108333333333333,1.0,6.205347891317448,"pio(read_count=543471, write_count=742, read_bytes=2034808672, write_bytes=2128633, other_count=409273, other_bytes=4984836)",1646724448.5984821
7156,LiDAR360.exe,8.333333333333334,1.0,7.4345014864538355,"pio(read_count=594896, write_count=705, read_bytes=2239603472, write_bytes=1981918, other_count=415539, other_bytes=5074028)",1646724452.6838918
13224,LiDAR360.exe,6.508333333333333,1.0,7.43121868204595,"pio(read_count=596669, write_count=1129, read_bytes=2242091345, write_bytes=3703817, other_count=427600, other_bytes=5216736)",1646724456.8424194
14668,LiDAR360.exe,8.525,1.0,7.105886796489047,"pio(read_count=680570, write_count=928, read_bytes=2591593484, write_bytes=2888379, other_count=412990, other_bytes=5072092)",1646724460.913457
14936,LiDAR360.exe,6.908333333333334,1.0,7.433498738925609,"pio(read_count=595598, write_count=963, read_bytes=2240880837, write_bytes=3026601, other_count=419666, other_bytes=5124460)",1646724465.0847995
